site,m_group,TL_mu,TL_lower,TL_upper,TL_n
Semi-Arid,Fish,0.6900825020317394,0.5039493593010627,0.8688229234753064,28
Semi-Arid,Invertebrate,0.2257114133064456,0.04648134860337058,0.39601395407350937,16
Sub-Humid,Fish,2.117761864620896,1.9665737386568827,2.2703506651404894,54
Sub-Humid,Invertebrate,0.8853398048621778,0.6147460825557656,1.1537437185422046,11
Transition,Fish,1.7607834712612886,1.5756061463796807,1.9541773631113732,44
Transition,Invertebrate,1.1660540584059766,0.8776960134629574,1.4492567977255886,23
Semi-Arid,F-Herbivore,0.4337657989355043,0.23668380632362557,0.6245407847290175,11
Semi-Arid,F-Invertivore,0.7431058740646357,0.5275183216044432,0.963742970557875,11
Semi-Arid,F-Piscivore,1.0627869423145273,0.5287740580346426,1.5983533358562947,6
Semi-Arid,I-Filterer,0,0,0,4
Semi-Arid,I-Predator,0.33575764855091766,0.05181878685928054,0.6254565951142567,9
Sub-Humid,F-Herbivore,2.2494527032862575,1.8426354884008613,2.668086433463472,4
Sub-Humid,F-Invertivore,2.114496104763974,1.9013583362987736,2.326289640097318,36
Sub-Humid,F-Piscivore,2.0885335789200203,1.8864650188492251,2.2920886755234435,14
Sub-Humid,I-Filterer,0.7678406992632849,0.6811618208984238,0.8593685087274083,3
Sub-Humid,I-Predator,0.8906536761042722,0.5049569848457891,1.2888026026795498,5
Transition,F-Herbivore,1.5554026513736556,1.057073738292614,2.0524582735850925,3
Transition,F-Invertivore,1.7032866582657569,1.5153497893835588,1.9015890019166561,25
Transition,F-Piscivore,1.8891311452957382,1.4808205156168148,2.3087959257120314,16
Transition,I-Filterer,0.44260260986690103,-0.04868392548736278,0.9278828059125217,5
Transition,I-Predator,1.373874271817604,0.9821659239106019,1.7728840842419429,11
Semi-Arid,Corbiculidae,0,0,0,4
Semi-Arid,H.cyanoguttatus,0.8871957167652168,0.7545524364269707,1.0191489335551756,4
Semi-Arid,L.cyanellus,0.7155614532301333,0.21296933648724403,1.2462945878019354,4
Semi-Arid,L.gulosus,0.7315214739219094,0.1251362646837828,1.3300353273497523,3
Semi-Arid,L.macrochirus,0.6579477599024719,0.24454436335001822,1.063235759380494,3
Semi-Arid,P.latipinna,0.4337657989355043,0.24395182463024997,0.6326706125949795,11
Sub-Humid,A.natalis,1.8622743076199495,1.7580863429450826,1.9721920948007803,12
Sub-Humid,Corbiculidae,0.7678406992632849,0.6780720722332783,0.8578872948962359,3
Sub-Humid,L.auritus,2.027770331397961,1.8119971888617061,2.255106848544988,8
Sub-Humid,L.cyanellus,2.1745141655271634,1.9530795536818628,2.3940610777004503,4
Sub-Humid,L.gulosus,1.9410718899777928,1.8785023625262691,2.0026944372813587,5
Sub-Humid,L.macrochirus,2.615083210977793,1.9789573010740633,3.2219880808939214,10
Sub-Humid,L.megalotis,1.9383859361153988,1.8890809073722166,1.986694714120354,4
Sub-Humid,L.microlophus,1.6897466302330457,1.6020372931307718,1.7767095060422258,3
Sub-Humid,P.latipinna,2.2494527032862575,1.8593574624345637,2.6573165373155256,4
Transition,A.natalis,2.2764128468623954,1.7625302463478034,2.7978037880421898,3
Transition,Corbiculidae,0.22822496851653518,-0.14577418429517536,0.5959239804108519,4
Transition,H.cyanoguttatus,1.8459279153497903,1.501515808944329,2.1879453422799933,8
Transition,I.punctatus,2.342181977556767,2.2264702135601433,2.4575764420021873,3
Transition,L.cyanellus,1.1033109119317674,0.9546219400711625,1.254584121483565,8
Transition,L.gulosus,1.828806598332984,1.7356224343239086,1.9223283233463455,3
Transition,L.macrochirus,1.3351881397195382,1.1132738535821454,1.5603605115117205,9
Transition,P.latipinna,1.5554026513736556,1.0822232126813325,2.0612744108786165,3
