site,m_group,n,mu,lower,upper,signif
Semi-Arid,Fish,28,0.6900825020317394,0.5039493593010627,0.8688229234753064,∗∗
Semi-Arid,Invertebrate,16,0.2257114133064456,0.04648134860337058,0.39601395407350937,∗∗
Sub-Humid,Fish,54,2.117761864620896,1.9665737386568827,2.2703506651404894,∗∗
Sub-Humid,Invertebrate,11,0.8853398048621778,0.6147460825557656,1.1537437185422046,∗
Transition,Fish,44,1.7607834712612886,1.5756061463796807,1.9541773631113732,∗∗
Transition,Invertebrate,23,1.1660540584059766,0.8776960134629574,1.4492567977255886,∗
Semi-Arid,F-Herbivore,11,0.4337657989355043,0.23668380632362557,0.6245407847290175,∗∗
Semi-Arid,F-Invertivore,11,0.7431058740646357,0.5275183216044432,0.963742970557875,∗∗
Semi-Arid,F-Piscivore,6,1.0627869423145273,0.5287740580346426,1.5983533358562947,∗
Semi-Arid,I-Filterer,4,0,0,0,∗
Semi-Arid,I-Predator,9,0.33575764855091766,0.05181878685928054,0.6254565951142567,∗
Sub-Humid,F-Herbivore,4,2.2494527032862575,1.8426354884008613,2.668086433463472,∗
Sub-Humid,F-Invertivore,36,2.114496104763974,1.9013583362987736,2.326289640097318,∗
Sub-Humid,F-Piscivore,14,2.0885335789200203,1.8864650188492251,2.2920886755234435,∗
Sub-Humid,I-Filterer,3,0.7678406992632849,0.6811618208984238,0.8593685087274083,∗
Sub-Humid,I-Predator,5,0.8906536761042722,0.5049569848457891,1.2888026026795498,NA
Transition,F-Herbivore,3,1.5554026513736556,1.057073738292614,2.0524582735850925,∗
Transition,F-Invertivore,25,1.7032866582657569,1.5153497893835588,1.9015890019166561,∗
Transition,F-Piscivore,16,1.8891311452957382,1.4808205156168148,2.3087959257120314,NA
Transition,I-Filterer,5,0.44260260986690103,-0.04868392548736278,0.9278828059125217,NA
Transition,I-Predator,11,1.373874271817604,0.9821659239106019,1.7728840842419429,∗
Semi-Arid,Corbiculidae,4,0,0,0,∗
Semi-Arid,L.cyanellus,4,0.7155614532301333,0.21296933648724403,1.2462945878019354,∗
Semi-Arid,L.gulosus,3,0.7315214739219094,0.1251362646837828,1.3300353273497523,∗∗
Semi-Arid,L.macrochirus,3,0.6579477599024719,0.24454436335001822,1.063235759380494,∗∗
Semi-Arid,P.latipinna,11,0.4337657989355043,0.24395182463024997,0.6326706125949795,∗∗
Sub-Humid,Corbiculidae,3,0.7678406992632849,0.6780720722332783,0.8578872948962359,∗∗
Sub-Humid,L.cyanellus,4,2.1745141655271634,1.9530795536818628,2.3940610777004503,∗∗
Sub-Humid,L.gulosus,5,1.9410718899777928,1.8785023625262691,2.0026944372813587,∗
Sub-Humid,L.macrochirus,10,2.615083210977793,1.9789573010740633,3.2219880808939214,∗∗
Sub-Humid,P.latipinna,4,2.2494527032862575,1.8593574624345637,2.6573165373155256,∗
Transition,Corbiculidae,4,0.22822496851653518,-0.14577418429517536,0.5959239804108519,∗
Transition,L.cyanellus,8,1.1033109119317674,0.9546219400711625,1.254584121483565,∗
Transition,L.gulosus,3,1.828806598332984,1.7356224343239086,1.9223283233463455,∗
Transition,L.macrochirus,9,1.3351881397195382,1.1132738535821454,1.5603605115117205,∗∗
Transition,P.latipinna,3,1.5554026513736556,1.0822232126813325,2.0612744108786165,∗
